"","epNSCs","qNSCs","lpNSCs","gene"
"CG5541","H1","Enhancers","Gene_body_1","CG5541"
"ND-B18","Open_promoters","Open_promoters","Open_promoters","ND-B18"
"opm","Open_promoters","Open_promoters","Open_promoters","opm"
"CG33177","H1","Low_signal","Low_signal","CG33177"
"asRNA:CR44960","Gene_body_2","Gene_body_2","Gene_body_2","asRNA:CR44960"
"CG33178","Gene_body_2","Gene_body_2","Gene_body_2","CG33178"
"Cox17","Gene_body_2","Low_signal","Gene_body_2","Cox17"
"CG15027","Open_promoters","Open_promoters","Open_promoters","CG15027"
"Dbct","Gene_body_2","HP1","Gene_body_2","Dbct"
"Rab3-GEF","H1","Enhancers","Enhancers","Rab3-GEF"
"CG9072","H1","Enhancers","Low_signal","CG9072"
"Cyp4s3","H1","HP1","Enhancers","Cyp4s3"
"drd","H1","H1","H1","drd"
"RpL37a","Open_promoters","Open_promoters","Open_promoters","RpL37a"
"CG9095","H1","H1","H1","CG9095"
"CG43737","Low_signal","Open_promoters","Low_signal","CG43737"
"CG32588","H1","Low_signal","Enhancers","CG32588"
"CG43075","H1","Low_signal","Low_signal","CG43075"
"CG43076","H1","H1","Low_signal","CG43076"
"CG9101","H1","Low_signal","Low_signal","CG9101"
"PPYR1","Low_signal","HP1","Enhancers","PPYR1"
"CG9106","Low_signal","H1","Low_signal","CG9106"
"lncRNA:CR44663","H1","Low_signal","H1","lncRNA:CR44663"
"lncRNA:CR44664","Low_signal","Enhancers","Low_signal","lncRNA:CR44664"
"CG5877","Gene_body_2","Open_promoters","Gene_body_1","CG5877"
"gce","Low_signal","Enhancers","Enhancers","gce"
"asRNA:CR44961","H1","HP1","H1","asRNA:CR44961"
"Top1","Gene_body_2","Gene_body_2","Gene_body_2","Top1"
"dah","Gene_body_2","Gene_body_2","Open_promoters","dah"
"CG9114","Gene_body_2","Gene_body_2","Gene_body_2","CG9114"
"HDAC6","Gene_body_2","Gene_body_2","Gene_body_1","HDAC6"
"asRNA:CR44998","Gene_body_2","Gene_body_1","Gene_body_1","asRNA:CR44998"
"CG9123","Gene_body_2","Gene_body_2","Gene_body_2","CG9123"
"CG12608","Gene_body_2","HP1","Gene_body_2","CG12608"
"Prp5","Gene_body_2","Gene_body_2","Gene_body_2","Prp5"
"acj6","Pc","Pc","Pc","acj6"
"Pp1-13C","Pc","Pc","Pc","Pp1-13C"
"CG9164","Low_signal","Enhancers","Enhancers","CG9164"
"Scamp","Gene_body_1","Gene_body_2","Open_promoters","Scamp"
"Ahcy","Gene_body_2","HP1","Gene_body_2","Ahcy"
"CG11655","Gene_body_2","Gene_body_2","Gene_body_1","CG11655"
"shtd","Gene_body_1","Gene_body_1","Gene_body_1","shtd"
"CG6294","Open_promoters","Gene_body_2","Open_promoters","CG6294"
"CG6299","Open_promoters","Gene_body_2","Open_promoters","CG6299"
"CG15642","Gene_body_1","Open_promoters","Open_promoters","CG15642"
"CG15641","Gene_body_1","Gene_body_2","Open_promoters","CG15641"
"Grip128","Open_promoters","Open_promoters","Open_promoters","Grip128"
"Alg14","Open_promoters","Open_promoters","Open_promoters","Alg14"
"mh","Gene_body_2","Gene_body_2","Open_promoters","mh"
"CG6340","Gene_body_2","Open_promoters","Gene_body_2","CG6340"
"Gmap","H1","H1","H1","Gmap"
"lncRNA:CR44888","Enhancers","HP1","Low_signal","lncRNA:CR44888"
"mir-283","H1","H1","Gene_body_1","mir-283"
"mir-304","H1","Gene_body_2","Gene_body_1","mir-304"
"mir-12","H1","Gene_body_1","Gene_body_1","mir-12"
"lncRNA:CR44353","Low_signal","Low_signal","Enhancers","lncRNA:CR44353"
"lncRNA:CR44354","Low_signal","Low_signal","Enhancers","lncRNA:CR44354"
"CG42300","Low_signal","HP1","Low_signal","CG42300"
"CG15643","Gene_body_2","Open_promoters","Gene_body_1","CG15643"
"CG9213","Low_signal","Gene_body_2","Gene_body_2","CG9213"
"CG42299","Enhancers","HP1","Low_signal","CG42299"
"cerv","Open_promoters","Open_promoters","Open_promoters","cerv"
"CG7872","Open_promoters","Open_promoters","Open_promoters","CG7872"
"CG9215","Gene_body_2","Open_promoters","Open_promoters","CG9215"
"CG8097","Open_promoters","Open_promoters","Open_promoters","CG8097"
"Chsy","Gene_body_2","Gene_body_2","Gene_body_1","Chsy"
"Alp11","Gene_body_2","Gene_body_2","Gene_body_2","Alp11"
"sog","Low_signal","H1","Low_signal","sog"
"lncRNA:CR44893","Low_signal","Low_signal","H1","lncRNA:CR44893"
"CG8117","H1","H1","Low_signal","CG8117"
"asRNA:CR43299","Enhancers","Pc","Enhancers","asRNA:CR43299"
"CG8119","Enhancers","Pc","Low_signal","CG8119"
"CG15646","Low_signal","Open_promoters","Open_promoters","CG15646"
"CG12708","Open_promoters","Open_promoters","Open_promoters","CG12708"
"CG15599","Low_signal","Low_signal","Pc","CG15599"
"lncRNA:CR43132","Enhancers","Low_signal","Enhancers","lncRNA:CR43132"
"lncRNA:CR45523","Enhancers","Low_signal","Low_signal","lncRNA:CR45523"
"lncRNA:CR45524","Enhancers","Low_signal","Low_signal","lncRNA:CR45524"
"lncRNA:CR45526","Enhancers","Enhancers","Pc","lncRNA:CR45526"
"CG8128","Gene_body_2","Low_signal","Gene_body_2","CG8128"
"Pis","Open_promoters","Open_promoters","Open_promoters","Pis"
"CG8134","Open_promoters","Open_promoters","Open_promoters","CG8134"
"CG9281","Enhancers","Low_signal","Low_signal","CG9281"
"CG15601","Open_promoters","Low_signal","Open_promoters","CG15601"
"HUWE1","Gene_body_2","Gene_body_2","Gene_body_2","HUWE1"
"CG8191","Enhancers","Gene_body_2","Open_promoters","CG8191"
"CG12379","Open_promoters","Open_promoters","Open_promoters","CG12379"
"MagR","Open_promoters","Open_promoters","Open_promoters","MagR"
"Arp6","Open_promoters","Open_promoters","Open_promoters","Arp6"
"CG11679","Open_promoters","Gene_body_2","Open_promoters","CG11679"
"CG8206","Open_promoters","Open_promoters","Open_promoters","CG8206"
"CG8944","Open_promoters","Gene_body_2","Gene_body_2","CG8944"
"CCT6","Open_promoters","Gene_body_2","Open_promoters","CCT6"
"Mvd","Gene_body_2","Open_promoters","Gene_body_2","Mvd"
"Graf","Gene_body_2","Gene_body_2","Gene_body_2","Graf"
"CG8260","Gene_body_2","Low_signal","Gene_body_1","CG8260"
"Polr3A","Gene_body_2","Gene_body_2","Gene_body_2","Polr3A"
"CG8952","Gene_body_2","Gene_body_2","Gene_body_2","CG8952"
"CG33172","Gene_body_2","Gene_body_2","Gene_body_2","CG33172"
"CG43672","Gene_body_2","Gene_body_2","Gene_body_1","CG43672"
"CG43673","Low_signal","HP1","Low_signal","CG43673"
"Efhc1.1","Gene_body_2","HP1","HP1","Efhc1.1"
"Paf-AHalpha","Open_promoters","Open_promoters","Open_promoters","Paf-AHalpha"
"mRpS30","Gene_body_2","Open_promoters","Open_promoters","mRpS30"
"Rhp","Gene_body_2","Gene_body_1","Gene_body_1","Rhp"
"sordd1","Gene_body_2","Low_signal","Gene_body_2","sordd1"
"CR44383","Open_promoters","Open_promoters","HP1","CR44383"
"sordd2","HP1","Low_signal","Gene_body_2","sordd2"
"CG15602","Open_promoters","Open_promoters","Open_promoters","CG15602"
"PGRP-LE","Gene_body_2","Open_promoters","Open_promoters","PGRP-LE"
"sd","Enhancers","Gene_body_2","Enhancers","sd"
"CG8509","Low_signal","HP1","Enhancers","CG8509"
"Chc","Gene_body_2","Gene_body_2","Gene_body_1","Chc"
"lncRNA:CR32582","HP1","HP1","HP1","lncRNA:CR32582"
"CG8565","HP1","HP1","Low_signal","CG8565"
"ArgRS","Open_promoters","HP1","Gene_body_2","ArgRS"
"CG8578","Gene_body_2","Open_promoters","Open_promoters","CG8578"
"sun","Open_promoters","Open_promoters","Open_promoters","sun"
"CG15914","Gene_body_2","Gene_body_2","Open_promoters","CG15914"
"Myb","Open_promoters","Open_promoters","Open_promoters","Myb"
"CG46440","Open_promoters","Open_promoters","Open_promoters","CG46440"
"AlkB","HP1","HP1","HP1","AlkB"
"Gbeta13F","Gene_body_2","Open_promoters","Open_promoters","Gbeta13F"
"Gapdh2","Open_promoters","Open_promoters","Open_promoters","Gapdh2"
"CG16952","Gene_body_2","Gene_body_2","Gene_body_2","CG16952"
"tay","Gene_body_2","Gene_body_2","Gene_body_2","tay"
"MSBP","Open_promoters","Open_promoters","Open_promoters","MSBP"
"CG15916","Low_signal","Low_signal","Open_promoters","CG15916"
"shi","Gene_body_2","Gene_body_2","Gene_body_2","shi"
"CycD","Gene_body_2","Gene_body_2","Open_promoters","CycD"
"Lrp4","H1","HP1","H1","Lrp4"
"CG8916","Low_signal","HP1","Enhancers","CG8916"
"Lcch3","Gene_body_2","Low_signal","Gene_body_2","Lcch3"
"Ranbp16","Gene_body_1","Gene_body_2","Gene_body_2","Ranbp16"
"Stim","Open_promoters","Gene_body_2","Open_promoters","Stim"
"CG8924","Gene_body_2","Gene_body_2","Gene_body_2","CG8924"
"Rrp47","Gene_body_2","Open_promoters","Gene_body_2","Rrp47"
"mmd","H1","Enhancers","Low_signal","mmd"
"mir-927","H1","Enhancers","Low_signal","mir-927"
"lncRNA:CR45527","H1","Enhancers","Enhancers","lncRNA:CR45527"
"Or13a","HP1","HP1","HP1","Or13a"
"CG42766","HP1","HP1","HP1","CG42766"
"CG9170","Gene_body_2","Open_promoters","Open_promoters","CG9170"
"Slc25A46a","HP1","Open_promoters","Low_signal","Slc25A46a"
"ND-20","Open_promoters","Open_promoters","Open_promoters","ND-20"
"eIF5","Gene_body_2","Open_promoters","Gene_body_2","eIF5"
"CG46312","Gene_body_2","Open_promoters","Gene_body_2","CG46312"
"exd","Gene_body_2","Open_promoters","Gene_body_2","exd"
"CG8939","Gene_body_2","HP1","Gene_body_1","CG8939"
"vap","Gene_body_2","Gene_body_2","Gene_body_2","vap"
"CG12698","Gene_body_1","Low_signal","Low_signal","CG12698"
"dpr18","H1","Open_promoters","Low_signal","dpr18"
"Nipsnap","Gene_body_1","Enhancers","Gene_body_1","Nipsnap"
"Tob","Low_signal","Low_signal","Enhancers","Tob"
"mir-4958","Gene_body_1","Gene_body_1","H1","mir-4958"
"CG8958","Low_signal","Low_signal","HP1","CG8958"
"CG42353","Enhancers","HP1","Enhancers","CG42353"
"CG42354","Enhancers","HP1","Enhancers","CG42354"
"disco-r","Pc","Pc","Pc","disco-r"
"disco","Pc","Pc","Pc","disco"
"snRNA:U5:14B","Enhancers","Pc","Enhancers","snRNA:U5:14B"
"snRNA:U2:14B","Enhancers","Pc","Enhancers","snRNA:U2:14B"
"CG12507","H1","Pc","Low_signal","CG12507"
"kat80","Gene_body_2","Gene_body_2","Gene_body_2","kat80"
"Mfe2","Gene_body_2","Gene_body_2","Gene_body_2","Mfe2"
"Prosalpha4","Open_promoters","Gene_body_2","Open_promoters","Prosalpha4"
"eas","Enhancers","Enhancers","Enhancers","eas"
"CG32576","Low_signal","Open_promoters","Open_promoters","CG32576"
"UQCR-14","Low_signal","Open_promoters","Open_promoters","UQCR-14"
"caz","Gene_body_2","Gene_body_2","Gene_body_2","caz"
"ERp44","Gene_body_2","Open_promoters","Gene_body_2","ERp44"
"CG3632","Gene_body_2","Gene_body_2","Gene_body_2","CG3632"
"CG3679","Gene_body_1","HP1","Open_promoters","CG3679"
"Had1","Gene_body_1","Gene_body_2","Enhancers","Had1"
"asRNA:CR45485","Gene_body_1","Gene_body_2","Enhancers","asRNA:CR45485"
"CG9915","Gene_body_2","Low_signal","Gene_body_2","CG9915"
"SWIP","Gene_body_2","Gene_body_2","Gene_body_2","SWIP"
"Cyp1","Open_promoters","Open_promoters","Enhancers","Cyp1"
"CG9917","Low_signal","Open_promoters","Open_promoters","CG9917"
"CG32579","Gene_body_2","Open_promoters","Open_promoters","CG32579"
"CalpC","Gene_body_2","Gene_body_2","Gene_body_2","CalpC"
"CG9919","Low_signal","Open_promoters","Low_signal","CG9919"
"CG9921","Low_signal","Enhancers","Enhancers","CG9921"
"Dsp1","Gene_body_2","Open_promoters","Enhancers","Dsp1"
"sl","Gene_body_2","Gene_body_1","Gene_body_1","sl"
"U2af50","Open_promoters","Open_promoters","Open_promoters","U2af50"
"PIG-Q","Open_promoters","Open_promoters","Open_promoters","PIG-Q"
"nonA","Gene_body_2","Gene_body_2","Gene_body_2","nonA"
"Fur2","Gene_body_2","Gene_body_2","Gene_body_1","Fur2"
"CG9992","Gene_body_2","Open_promoters","Gene_body_2","CG9992"
"CG4239","Gene_body_2","Gene_body_2","Low_signal","CG4239"
"TH1","Gene_body_2","Gene_body_2","Open_promoters","TH1"
"mei-41","Gene_body_2","Gene_body_2","Gene_body_2","mei-41"
"CG9981","Gene_body_2","Gene_body_1","Gene_body_1","CG9981"
"CG4301","H1","HP1","HP1","CG4301"
"Traf-like","Gene_body_2","Gene_body_2","Gene_body_2","Traf-like"
"AnxB11","Gene_body_2","Gene_body_2","Gene_body_2","AnxB11"
"hang","Gene_body_2","Gene_body_2","Gene_body_2","hang"
"CDC50","Gene_body_2","Gene_body_2","Gene_body_2","CDC50"
"rngo","Gene_body_2","Gene_body_2","Gene_body_2","rngo"
"eIF2alpha","Open_promoters","Open_promoters","Open_promoters","eIF2alpha"
"CG34015","Low_signal","Low_signal","Open_promoters","CG34015"
"eIF4H1","Gene_body_2","Gene_body_2","Gene_body_2","eIF4H1"
"para","HP1","HP1","Enhancers","para"
"Cnx14D","Low_signal","HP1","Enhancers","Cnx14D"
"CG9903","Low_signal","Low_signal","H1","CG9903"
"CG9902","Gene_body_1","Gene_body_2","Open_promoters","CG9902"
"Arp2","Gene_body_2","Gene_body_2","Gene_body_2","Arp2"
"Pp2B-14D","Low_signal","Gene_body_2","Low_signal","Pp2B-14D"
"CG13014","Gene_body_2","Low_signal","Low_signal","CG13014"
"SMC3","Gene_body_2","Gene_body_2","Gene_body_2","SMC3"
"Ubc7","Open_promoters","Open_promoters","Open_promoters","Ubc7"
"CG9784","Gene_body_2","Open_promoters","Gene_body_2","CG9784"
"Nup153","Gene_body_2","Gene_body_2","Gene_body_2","Nup153"
"mir-4965","Gene_body_2","Gene_body_2","Gene_body_2","mir-4965"
"mbt","Open_promoters","Gene_body_2","Open_promoters","mbt"
"sisRNA:2","Gene_body_2","Gene_body_2","Gene_body_2","sisRNA:2"
"CG9782","Low_signal","Enhancers","Low_signal","CG9782"
"Rok","Gene_body_2","Gene_body_2","Gene_body_2","Rok"
"CG9777","Gene_body_1","Gene_body_2","Gene_body_2","CG9777"
"asRNA:CR45001","Gene_body_1","Gene_body_1","Gene_body_1","asRNA:CR45001"
"sbRNA:1","Gene_body_2","Gene_body_1","Gene_body_1","sbRNA:1"
"RpS19a","Open_promoters","Open_promoters","Open_promoters","RpS19a"
"SNRPG","Open_promoters","Open_promoters","Open_promoters","SNRPG"
"mthl1","Enhancers","Open_promoters","Enhancers","mthl1"
"lncRNA:CR46147","Enhancers","Enhancers","Enhancers","lncRNA:CR46147"
"CG32573","Low_signal","Gene_body_2","Gene_body_2","CG32573"
"CG42512","Low_signal","Gene_body_2","Gene_body_2","CG42512"
"Nemp","Open_promoters","Open_promoters","Open_promoters","Nemp"
"r","Low_signal","Gene_body_1","Gene_body_1","r"
"CG15865","H1","H1","H1","CG15865"
"CG13012","Low_signal","Low_signal","Gene_body_2","CG13012"
"CG13010","Gene_body_2","H1","Gene_body_1","CG13010"
"sing","Gene_body_2","Gene_body_2","Gene_body_1","sing"
"Axs","Gene_body_2","Gene_body_1","Gene_body_2","Axs"
"Septin4","Gene_body_2","Low_signal","Gene_body_1","Septin4"
"CG4678","H1","H1","H1","CG4678"
"CG9676","Low_signal","H1","H1","CG9676"
"sphe","H1","Low_signal","Low_signal","sphe"
"CG9673","H1","H1","H1","CG9673"
"CG4653","H1","H1","H1","CG4653"
"CG9672","H1","H1","H1","CG9672"
"CG13008","H1","H1","H1","CG13008"
"CG34325","Low_signal","Enhancers","Low_signal","CG34325"
"CG32572","Low_signal","Low_signal","H1","CG32572"
"goe","Gene_body_2","Gene_body_2","Gene_body_1","goe"
"TwdlX","Low_signal","Enhancers","H1","TwdlX"
"TwdlY","Low_signal","H1","H1","TwdlY"
"TwdlZ","Low_signal","H1","Low_signal","TwdlZ"
"CG32568","Gene_body_2","Gene_body_2","Gene_body_2","CG32568"
"Twdlalpha","Gene_body_2","Low_signal","Gene_body_1","Twdlalpha"
"if","Enhancers","H1","Low_signal","if"
"mRpL22","Open_promoters","Open_promoters","Open_promoters","mRpL22"
"CG9609","Open_promoters","Open_promoters","Open_promoters","CG9609"
"Sap30","Gene_body_2","Gene_body_2","Open_promoters","Sap30"
"Rrp45","Gene_body_2","Gene_body_2","Open_promoters","Rrp45"
"CG4768","Gene_body_2","Gene_body_2","Gene_body_2","CG4768"
"CG9132","Low_signal","Gene_body_2","Open_promoters","CG9132"
"CG4789","Open_promoters","Open_promoters","Open_promoters","CG4789"
"Rai1","Open_promoters","Open_promoters","Open_promoters","Rai1"
"CG13005","Gene_body_1","Gene_body_2","Gene_body_2","CG13005"
"asRNA:CR44053","Gene_body_2","Low_signal","Gene_body_2","asRNA:CR44053"
"ppk28","Gene_body_2","Low_signal","Gene_body_2","ppk28"
"CG4829","H1","H1","H1","CG4829"
"CG13004","H1","Enhancers","H1","CG13004"
"CG46306","H1","Enhancers","H1","CG46306"
"RSG7","H1","H1","Low_signal","RSG7"
"CG4872","Gene_body_2","Gene_body_1","Gene_body_1","CG4872"
"Nprl2","Gene_body_2","Open_promoters","Open_promoters","Nprl2"
"Polr3I","Open_promoters","Open_promoters","Open_promoters","Polr3I"
"DENR","Open_promoters","Open_promoters","Open_promoters","DENR"
"CG4880","Open_promoters","Open_promoters","Open_promoters","CG4880"
"lncRNA:CR43768","Gene_body_2","Gene_body_1","Low_signal","lncRNA:CR43768"
"CG13002","Low_signal","Gene_body_1","Low_signal","CG13002"
"lncRNA:CR44754","H1","H1","Enhancers","lncRNA:CR44754"
"CG4928","H1","HP1","H1","CG4928"
"wus","HP1","Low_signal","Low_signal","wus"
"CG13001","Open_promoters","Open_promoters","Open_promoters","CG13001"
"RhoGAP15B","Gene_body_2","HP1","Gene_body_2","RhoGAP15B"
"CG13000","H1","Low_signal","H1","CG13000"
"Ubr1","Gene_body_2","Gene_body_2","Gene_body_2","Ubr1"
"CG43996","Low_signal","HP1","H1","CG43996"
"CG43077","Enhancers","Gene_body_1","Low_signal","CG43077"
"wcy","Gene_body_2","Gene_body_2","Gene_body_2","wcy"
"CG4949","Open_promoters","Open_promoters","Open_promoters","CG4949"
"CG8945","HP1","HP1","H1","CG8945"
"CG4955","Gene_body_1","HP1","HP1","CG4955"
"CG16700","Low_signal","HP1","H1","CG16700"
"CG4991","Low_signal","H1","H1","CG4991"
"Arpc3B","Low_signal","HP1","Low_signal","Arpc3B"
"CG5004","Gene_body_2","Gene_body_2","Enhancers","CG5004"
"mei-218","Gene_body_2","Gene_body_2","Gene_body_2","mei-218"
"mei-217","Gene_body_2","Gene_body_2","Gene_body_2","mei-217"
"RpS5a","Gene_body_2","Gene_body_2","Open_promoters","RpS5a"
"snoRNA:Psi28S-1192d","Gene_body_2","Gene_body_2","Low_signal","snoRNA:Psi28S-1192d"
"snoRNA:Psi28S-1192c","Gene_body_2","Gene_body_2","Low_signal","snoRNA:Psi28S-1192c"
"snoRNA:Psi28S-1192b","Gene_body_2","Gene_body_2","Low_signal","snoRNA:Psi28S-1192b"
"snoRNA:Psi28S-1192a","Gene_body_1","Gene_body_2","Gene_body_2","snoRNA:Psi28S-1192a"
"snoRNA:Psi28S-2876","Gene_body_1","Gene_body_2","Gene_body_2","snoRNA:Psi28S-2876"
"snoRNA:Psi18S-1854c","Gene_body_1","Gene_body_2","Open_promoters","snoRNA:Psi18S-1854c"
"snoRNA:Psi28S-1135f","Gene_body_2","Gene_body_2","Open_promoters","snoRNA:Psi28S-1135f"
"snoRNA:Psi18S-1854b","Gene_body_2","Gene_body_2","Open_promoters","snoRNA:Psi18S-1854b"
"snoRNA:Psi28S-1135e","Gene_body_2","Gene_body_2","Open_promoters","snoRNA:Psi28S-1135e"
"snoRNA:Psi18S-1854a","Gene_body_2","Open_promoters","Open_promoters","snoRNA:Psi18S-1854a"
"snoRNA:Psi28S-1135d","Gene_body_2","Open_promoters","Open_promoters","snoRNA:Psi28S-1135d"
"snoRNA:Psi28S-1135c","Gene_body_2","Open_promoters","Open_promoters","snoRNA:Psi28S-1135c"
"snoRNA:Psi28S-1135b","Gene_body_2","Open_promoters","Open_promoters","snoRNA:Psi28S-1135b"
"snoRNA:Psi28S-1135a","Open_promoters","Open_promoters","Open_promoters","snoRNA:Psi28S-1135a"
"Chchd2","Open_promoters","Open_promoters","Open_promoters","Chchd2"
"xmas","Gene_body_2","Gene_body_2","Gene_body_1","xmas"
"baz","Low_signal","Low_signal","Enhancers","baz"
"lncRNA:CR44026","Low_signal","H1","H1","lncRNA:CR44026"
"TTLL1A","Low_signal","H1","Gene_body_1","TTLL1A"
"CG5070","Low_signal","H1","H1","CG5070"
"CG32564","Low_signal","Enhancers","Low_signal","CG32564"
"CG32563","H1","H1","H1","CG32563"
"CG18258","H1","H1","H1","CG18258"
"CG5162","H1","H1","H1","CG5162"
"CG12998","Low_signal","H1","H1","CG12998"
"CG34327","H1","H1","H1","CG34327"
"CG10598","Low_signal","Low_signal","H1","CG10598"
"f","H1","H1","H1","f"
"CG8915","Gene_body_2","Gene_body_2","Gene_body_1","CG8915"
"CG42854","HP1","HP1","HP1","CG42854"
"CG8675","Open_promoters","Open_promoters","Open_promoters","CG8675"
"CG8664","H1","H1","H1","CG8664"
"CG5445","H1","Gene_body_2","Low_signal","CG5445"
"Fim","H1","Gene_body_2","Low_signal","Fim"
"B-H2","Pc","Pc","Pc","B-H2"
"lncRNA:CR43491","Pc","Pc","Pc","lncRNA:CR43491"
"B-H1","Pc","Pc","Pc","B-H1"
"CG8611","Pc","Pc","Pc","CG8611"
"p-cup","H1","H1","H1","p-cup"
"CG8568","H1","HP1","H1","CG8568"
"CG43658","Enhancers","H1","Enhancers","CG43658"
"ppk23","H1","Enhancers","H1","ppk23"
"Ankle2","Gene_body_2","Gene_body_2","Gene_body_1","Ankle2"
"asRNA:CR44124","Enhancers","Open_promoters","Low_signal","asRNA:CR44124"
"CG12991","H1","Enhancers","H1","CG12991"
"CG12992","H1","Low_signal","Low_signal","CG12992"
"X11L","Gene_body_2","Open_promoters","Gene_body_2","X11L"
"stas","Gene_body_1","Gene_body_2","Gene_body_2","stas"
"CG8326","Open_promoters","Open_promoters","Open_promoters","CG8326"
"corolla","H1","HP1","HP1","corolla"
"ND-24","Open_promoters","Open_promoters","Gene_body_2","ND-24"
"CG8289","Open_promoters","Open_promoters","Open_promoters","CG8289"
"CG5800","Gene_body_2","Gene_body_2","Open_promoters","CG5800"
"RhoGAPp190","Gene_body_2","Gene_body_2","Gene_body_2","RhoGAPp190"
"IntS2","Gene_body_2","Gene_body_2","Gene_body_2","IntS2"
"beta-Spec","Gene_body_2","Gene_body_2","Gene_body_1","beta-Spec"
"CG12990","Gene_body_2","HP1","Gene_body_1","CG12990"
"chas","Low_signal","Enhancers","H1","chas"
"CG8188","Open_promoters","Gene_body_2","Gene_body_2","CG8188"
"par-6","Gene_body_2","Gene_body_2","Open_promoters","par-6"
"CG8173","Gene_body_2","Gene_body_2","Open_promoters","CG8173"
"raskol","Enhancers","Enhancers","Enhancers","raskol"
"unc-4","Pc","Pc","Pc","unc-4"
"OdsH","Pc","Pc","Pc","OdsH"
"CG12986","Pc","Pc","Pc","CG12986"
"Socs16D","Gene_body_2","Gene_body_2","Gene_body_2","Socs16D"
"lncRNA:CR44691","H1","Enhancers","Enhancers","lncRNA:CR44691"
"CG6398","Low_signal","Low_signal","Enhancers","CG6398"
"Taf9","Open_promoters","Gene_body_2","Open_promoters","Taf9"
"CG8142","Open_promoters","Gene_body_2","Open_promoters","CG8142"
"Ucp4A","Gene_body_2","Gene_body_2","Gene_body_2","Ucp4A"
"CG15814","Open_promoters","Open_promoters","Open_promoters","CG15814"
"Spt7","Open_promoters","Open_promoters","Open_promoters","Spt7"
"CG32554","Low_signal","Open_promoters","Low_signal","CG32554"
"Mco4","Gene_body_2","Low_signal","H1","Mco4"
"Arp8","Gene_body_2","Gene_body_2","Gene_body_1","Arp8"
"CG6769","Gene_body_2","Open_promoters","Open_promoters","CG6769"
"mnb","Gene_body_2","Enhancers","Gene_body_2","mnb"
"CG12985","Low_signal","Low_signal","Enhancers","CG12985"
"CR32496","Low_signal","Gene_body_2","Open_promoters","CR32496"
"CG7772","Open_promoters","Open_promoters","Open_promoters","CG7772"
"Vps4","Gene_body_2","Gene_body_2","Gene_body_1","Vps4"
"CG6847","H1","HP1","Enhancers","CG6847"
"Sh","Low_signal","Enhancers","Enhancers","Sh"
"CG12672","Low_signal","Open_promoters","Enhancers","CG12672"
"CG6867","H1","Gene_body_1","H1","CG6867"
"CG15373","H1","H1","H1","CG15373"
"Dhc16F","Low_signal","HP1","H1","Dhc16F"
"CG7536","Gene_body_2","Gene_body_2","Open_promoters","CG7536"
"Ada3","Open_promoters","Open_promoters","Open_promoters","Ada3"
"Swt1","Open_promoters","Gene_body_2","Open_promoters","Swt1"
"scu","Open_promoters","HP1","Open_promoters","scu"
"RhoGAP16F","Gene_body_2","Gene_body_2","Gene_body_2","RhoGAP16F"
"Mvb12","Open_promoters","Open_promoters","Gene_body_2","Mvb12"
"Taf8","Open_promoters","Open_promoters","Open_promoters","Taf8"
"CG7135","Gene_body_2","Gene_body_2","HP1","CG7135"
"wupA","HP1","HP1","HP1","wupA"
"mir-210","H1","Low_signal","Low_signal","mir-210"
"CG43133","Low_signal","Gene_body_2","Low_signal","CG43133"
"ari-1","Gene_body_2","Gene_body_2","Gene_body_2","ari-1"
"CG43229","Low_signal","Enhancers","Low_signal","CG43229"
"Frq1","Low_signal","Open_promoters","Low_signal","Frq1"
"Frq2","Low_signal","Enhancers","Low_signal","Frq2"
"Andorra","H1","Enhancers","Low_signal","Andorra"
"Hesr","H1","H1","Gene_body_1","Hesr"
"Him","Enhancers","Enhancers","H1","Him"
"CG33639","H1","Enhancers","Enhancers","CG33639"
"upd2","Gene_body_1","Low_signal","Gene_body_1","upd2"
"lncRNA:CR45607","Low_signal","Enhancers","Low_signal","lncRNA:CR45607"
"lncRNA:CR45613","Low_signal","Low_signal","H1","lncRNA:CR45613"
"CG15059","H1","H1","H1","CG15059"
"upd3","H1","Pc","H1","upd3"
"lncRNA:CR15061","Low_signal","Low_signal","H1","lncRNA:CR15061"
"upd1","Low_signal","H1","Pc","upd1"
"lncRNA:CR45608","Pc","Pc","Pc","lncRNA:CR45608"
"lncRNA:CR45609","Pc","Pc","Pc","lncRNA:CR45609"
"CG6023","H1","Pc","Pc","CG6023"
"CG6106","H1","Low_signal","Low_signal","CG6106"
"CrebB","Gene_body_2","Gene_body_2","Gene_body_2","CrebB"
"por","Gene_body_2","Gene_body_2","Gene_body_2","por"
"CG6179","Open_promoters","Open_promoters","Open_promoters","CG6179"
"betaCOP","Gene_body_1","Open_promoters","Gene_body_1","betaCOP"
"Tsf1","H1","Enhancers","H1","Tsf1"
"Nt5b","H1","Enhancers","H1","Nt5b"
"CG34328","H1","Enhancers","H1","CG34328"
"CG15056","H1","Low_signal","H1","CG15056"
"CG42323","H1","Low_signal","H1","CG42323"
"CG32548","H1","H1","H1","CG32548"
"CG6290","H1","H1","H1","CG6290"
"CG43841","H1","Low_signal","H1","CG43841"
"CG32547","H1","Enhancers","Enhancers","CG32547"
"CG43843","H1","HP1","Enhancers","CG43843"
"asRNA:CR43842","Low_signal","Enhancers","Enhancers","asRNA:CR43842"
"Hayan","Low_signal","HP1","HP1","Hayan"
